year,model_type,selected,sample_size,tntl_min,tntl_max,in_sample_r2,in_sample_mae,in_sample_rmse,cv_r2,cv_mae,cv_rmse,training_input_sha256
2021,logarithmic,false,242,5519.34936001441,505224.515250535,0.6998557799571148,5.612696262513246,7.085565462561141,0.697843539352033,5.63826618847866,7.10927747215768,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2021,exponential,false,242,5519.34936001441,505224.515250535,0.5768059117317668,7.104487296611333,8.413550749606914,0.5518410150330655,7.222549848187004,8.658159388049713,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2021,quadratic,true,242,5519.34936001441,505224.515250535,0.7401814067013146,5.222588932825213,6.592416475802368,0.734429518557373,5.284382278315628,6.664988785398625,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2022,linear,false,242,5276.44159685911,518060.561191763,0.6438553167611097,6.342126901646143,7.758247971601032,0.6315277142942368,6.399343493680327,7.891377842522508,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2022,logarithmic,false,242,5276.44159685911,518060.561191763,0.6999904989298193,5.576303920570081,7.1206219426310495,0.6936736326172896,5.644715467944761,7.195195759878605,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2022,exponential,false,242,5276.44159685911,518060.561191763,0.5663617539588172,7.156928639165975,8.560797287957369,0.5319817848984123,7.272683149108432,8.893686198338308,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2022,quadratic,true,242,5276.44159685911,518060.561191763,0.7269069188616457,5.408997051999752,6.793690730442194,0.7016473989511378,5.577141537028304,7.100931743592397,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2023,linear,false,256,6718.10881372994,553330.807009561,0.6498166840403803,6.369932238355091,7.733840273191481,0.6419029536528902,6.42574552935982,7.820739898206161,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2023,logarithmic,false,256,6718.10881372994,553330.807009561,0.6810266171699311,5.820621633991175,7.3811612836864615,0.6781702354903336,5.848596130337322,7.414136486443219,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2023,exponential,false,256,6718.10881372994,553330.807009561,0.5761703392962798,7.165672350985029,8.508306888266928,0.5654650779509617,7.2153171322619905,8.615089932732106,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2023,quadratic,true,256,6718.10881372994,553330.807009561,0.7193483511009936,5.527590967144915,6.923588884550038,0.7071652788349678,5.643320925561576,7.0722687806869855,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2024,linear,false,260,7819.34120836024,572961.684544044,0.6849522495653217,6.061106641463247,7.329488813259028,0.6748662948620241,6.104980753333608,7.445887864833077,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2024,logarithmic,false,260,7819.34120836024,572961.684544044,0.7569814092622436,5.0687657579472045,6.437322155182544,0.7551411604492458,5.082469834000464,6.461649373457732,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2024,exponential,false,260,7819.34120836024,572961.684544044,0.6021253806681581,6.8856258528295555,8.23680174553974,0.5829540665044073,6.945134434205718,8.432909513404214,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
2024,quadratic,true,260,7819.34120836024,572961.684544044,0.7742210343052034,4.983867075463904,6.20479210008232,0.7641408521627,5.060466660548273,6.341790008347815,6A69143988DB9B7C28A49B3E280227FFBCF4E043A1693B3494135028E00F8673
