CityNormalized,City,SourceNameVariants,YearsObserved,MissingYears,FirstYear,LastYear,ObservationCount
南京,南京,南京,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
南充,南充,南充,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
南宁,南宁,南宁,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
南平,南平,南平,2021|2022|2023|2024,2017|2018|2019|2020,2021,2024,4
南昌,南昌,南昌,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
南通,南通,南通,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
南阳,南阳,南阳,2019|2020|2021|2022|2023|2024,2017|2018,2019,2024,6
厦门,厦门,厦门,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
台州,台州,台州,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
合肥,合肥,合肥,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
吉安,吉安,吉安,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
吉林,吉林,吉林,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
吕梁,吕梁,吕梁,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
周口,周口,周口,2019|2020|2021|2022|2023|2024,2017|2018,2019,2024,6
呼伦贝尔,呼伦贝尔,呼伦贝尔,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
呼和浩特,呼和浩特,呼和浩特,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
咸宁,咸宁,咸宁,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
咸阳,咸阳,咸阳,2019|2020|2021|2022|2023|2024,2017|2018,2019,2024,6
哈尔滨,哈尔滨,哈尔滨,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
唐山,唐山,唐山,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
商丘,商丘,商丘,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
喀什,喀什,喀什,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
嘉兴,嘉兴,嘉兴,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
大同,大同,大同,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
大庆,大庆,大庆,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
大理,大理,大理,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
大连,大连,大连,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
天水,天水,天水,2020|2021|2022|2023,2017|2018|2019|2024,2020,2023,4
天津,天津,天津,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
太原,太原,太原,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
威海,威海,威海,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
娄底,娄底,娄底,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
孝感,孝感,孝感,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
宁德,宁德,宁德,2021|2022|2023|2024,2017|2018|2019|2020,2021,2024,4
宁波,宁波,宁波,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
安庆,安庆,安庆,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
安康,安康,安康,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
安阳,安阳,安阳,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
安顺,安顺,安顺,2024,2017|2018|2019|2020|2021|2022|2023,2024,2024,1
宜宾,宜宾,宜宾,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
宜昌,宜昌,宜昌,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
宜春,宜春,宜春,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
宝鸡,宝鸡,宝鸡,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
宣城,宣城,宣城,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
宿州,宿州,宿州,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
宿迁,宿迁,宿迁,2019|2020|2021|2022|2023|2024,2017|2018,2019,2024,6
岳阳,岳阳,岳阳,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
崇左,崇左,崇左,2024,2017|2018|2019|2020|2021|2022|2023,2024,2024,1
巴彦淖尔,巴彦淖尔,巴彦淖尔,2024,2017|2018|2019|2020|2021|2022|2023,2024,2024,1
巴音郭楞,巴音郭楞,巴音郭楞,2021|2022|2023|2024,2017|2018|2019|2020,2021,2024,4
常州,常州,常州,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
常德,常德,常德,2019|2020|2021|2022|2023|2024,2017|2018,2019,2024,6
平顶山,平顶山,平顶山,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
广元,广元,广元,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
广安,广安,广安,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
广州,广州,广州,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
庆阳,庆阳,庆阳,2024,2017|2018|2019|2020|2021|2022|2023,2024,2024,1
廊坊,廊坊,廊坊,2019|2020|2021|2022|2023|2024,2017|2018,2019,2024,6
延安,延安,延安,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
开封,开封,开封,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
张家口,张家口,张家口,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
徐州,徐州,徐州,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
德州,德州,德州,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
德阳,德阳,德阳,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
忻州,忻州,忻州,2023|2024,2017|2018|2019|2020|2021|2022,2023,2024,2
怀化,怀化,怀化,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
恩施,恩施,恩施,2023|2024,2017|2018|2019|2020|2021|2022,2023,2024,2
惠州,惠州,惠州,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
成都,成都,成都,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
扬州,扬州,扬州,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
承德,承德,承德,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
抚州,抚州,抚州,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
抚顺,抚顺,抚顺,2018|2019|2020|2021|2022|2023,2017|2024,2018,2023,6
拉萨,拉萨,拉萨,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
揭阳,揭阳,揭阳,2021|2022|2023|2024,2017|2018|2019|2020,2021,2024,4
攀枝花,攀枝花,攀枝花,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
文山,文山,文山,2024,2017|2018|2019|2020|2021|2022|2023,2024,2024,1
新乡,新乡,新乡,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
新余,新余,新余,2023|2024,2017|2018|2019|2020|2021|2022,2023,2024,2
无锡,无锡,无锡,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
日照,日照,日照,2021|2022|2023|2024,2017|2018|2019|2020,2021,2024,4
昆明,昆明,昆明,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
昌吉,昌吉,昌吉,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
昭通,昭通,昭通,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
晋中,晋中,晋中,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
晋城,晋城,晋城,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
普洱,普洱,普洱,2023|2024,2017|2018|2019|2020|2021|2022,2023,2024,2
景德镇,景德镇,景德镇,2023|2024,2017|2018|2019|2020|2021|2022,2023,2024,2
曲靖,曲靖,曲靖,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
朔州,朔州,朔州,2021|2022|2023|2024,2017|2018|2019|2020,2021,2024,4
杭州,杭州,杭州,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
枣庄,枣庄,枣庄,2021|2022|2023|2024,2017|2018|2019|2020,2021,2024,4
柳州,柳州,柳州,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
株洲,株洲,株洲,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
桂林,桂林,桂林,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
梅州,梅州,梅州,2023|2024,2017|2018|2019|2020|2021|2022,2023,2024,2
